timestamp,fakeId,attackerId,posX,posY
18.1,2003,2,271,138.6
18.1,2004,2,281,148.6
18.1,2005,2,291,158.6
18.2,2001,2,252,119.2
18.2,2002,2,262,129.2
18.2,2003,2,272,139.2
18.2,2004,2,282,149.2
18.2,2005,2,292,159.2
18.3,2001,2,253,119.8
18.3,2002,2,263,129.8
18.3,2003,2,273,139.8
18.3,2004,2,283,149.8
18.3,2005,2,293,159.8
18.4,2001,2,254,120.4
18.4,2002,2,264,130.4
18.4,2003,2,274,140.4
18.4,2004,2,284,150.4
18.4,2005,2,294,160.4
18.5,2001,2,255,121
18.5,2002,2,265,131
18.5,2003,2,275,141
18.5,2004,2,285,151
18.5,2005,2,295,161
18.6,2001,2,256,121.6
18.6,2002,2,266,131.6
18.6,2003,2,276,141.6
18.6,2004,2,286,151.6
18.6,2005,2,296,161.6
18.7,2001,2,257,122.2
18.7,2002,2,267,132.2
18.7,2003,2,277,142.2
18.7,2004,2,287,152.2
18.7,2005,2,297,162.2
18.8,2001,2,258,122.8
18.8,2002,2,268,132.8
18.8,2003,2,278,142.8
18.8,2004,2,288,152.8
18.8,2005,2,298,162.8
18.9,2001,2,259,123.4
18.9,2002,2,269,133.4
18.9,2003,2,279,143.4
18.9,2004,2,289,153.4
18.9,2005,2,299,163.4
19,2001,2,260,124
19,2002,2,270,134
19,2003,2,280,144
19,2004,2,290,154
19,2005,2,300,164
19.1,2001,2,261,124.6
19.1,2002,2,271,134.6
19.1,2003,2,281,144.6
19.1,2004,2,291,154.6
19.1,2005,2,301,164.6
19.2,2001,2,262,125.2
19.2,2002,2,272,135.2
19.2,2003,2,282,145.2
19.2,2004,2,292,155.2
19.2,2005,2,302,165.2
19.3,2001,2,263,125.8
19.3,2002,2,273,135.8
19.3,2003,2,283,145.8
19.3,2004,2,293,155.8
19.3,2005,2,303,165.8
19.4,2001,2,264,126.4
19.4,2002,2,274,136.4
19.4,2003,2,284,146.4
19.4,2004,2,294,156.4
19.4,2005,2,304,166.4
19.5,2001,2,265,127
19.5,2002,2,275,137
19.5,2003,2,285,147
19.5,2004,2,295,157
19.5,2005,2,305,167
19.6,2001,2,266,127.6
19.6,2002,2,276,137.6
19.6,2003,2,286,147.6
19.6,2004,2,296,157.6
19.6,2005,2,306,167.6
19.7,2001,2,267,128.2
19.7,2002,2,277,138.2
19.7,2003,2,287,148.2
19.7,2004,2,297,158.2
19.7,2005,2,307,168.2
19.8,2001,2,268,128.8
19.8,2002,2,278,138.8
19.8,2003,2,288,148.8
19.8,2004,2,298,158.8
19.8,2005,2,308,168.8
19.9,2001,2,269,129.4
19.9,2002,2,279,139.4
19.9,2003,2,289,149.4
19.9,2004,2,299,159.4
19.9,2005,2,309,169.4
20,2001,2,270,130
20,2002,2,280,140
20,2003,2,290,150
20,2004,2,300,160
20,2005,2,310,170
20.1,2001,2,271,130.6
20.1,2002,2,281,140.6
20.1,2003,2,291,150.6
20.1,2004,2,301,160.6
20.1,2005,2,311,170.6
20.2,2001,2,272,131.2
20.2,2002,2,282,141.2
20.2,2003,2,292,151.2
20.2,2004,2,302,161.2
20.2,2005,2,312,171.2
20.3,2001,2,273,131.8
20.3,2002,2,283,141.8
20.3,2003,2,293,151.8
20.3,2004,2,303,161.8
20.3,2005,2,313,171.8
20.4,2001,2,274,132.4
20.4,2002,2,284,142.4
20.4,2003,2,294,152.4
20.4,2004,2,304,162.4
20.4,2005,2,314,172.4
20.5,2001,2,275,133
20.5,2002,2,285,143
20.5,2003,2,295,153
20.5,2004,2,305,163
20.5,2005,2,315,173
20.6,2001,2,276,133.6
20.6,2002,2,286,143.6
20.6,2003,2,296,153.6
20.6,2004,2,306,163.6
20.6,2005,2,316,173.6
20.7,2001,2,277,134.2
20.7,2002,2,287,144.2
20.7,2003,2,297,154.2
20.7,2004,2,307,164.2
20.7,2005,2,317,174.2
20.8,2001,2,278,134.8
20.8,2002,2,288,144.8
20.8,2003,2,298,154.8
20.8,2004,2,308,164.8
20.8,2005,2,318,174.8
20.9,2001,2,279,135.4
20.9,2002,2,289,145.4
20.9,2003,2,299,155.4
20.9,2004,2,309,165.4
20.9,2005,2,319,175.4
21,2001,2,280,136
21,2002,2,290,146
21,2003,2,300,156
21,2004,2,310,166
21,2005,2,320,176
21.1,2001,2,281,136.6
21.1,2002,2,291,146.6
21.1,2003,2,301,156.6
21.1,2004,2,311,166.6
21.1,2005,2,321,176.6
21.2,2001,2,282,137.2
21.2,2002,2,292,147.2
21.2,2003,2,302,157.2
21.2,2004,2,312,167.2
21.2,2005,2,322,177.2
21.3,2001,2,283,137.8
21.3,2002,2,293,147.8
21.3,2003,2,303,157.8
21.3,2004,2,313,167.8
21.3,2005,2,323,177.8
21.4,2001,2,284,138.4
21.4,2002,2,294,148.4
21.4,2003,2,304,158.4
21.4,2004,2,314,168.4
21.4,2005,2,324,178.4
21.5,2001,2,285,139
21.5,2002,2,295,149
21.5,2003,2,305,159
21.5,2004,2,315,169
21.5,2005,2,325,179
21.6,2001,2,286,139.6
21.6,2002,2,296,149.6
21.6,2003,2,306,159.6
21.6,2004,2,316,169.6
21.6,2005,2,326,179.6
21.7,2001,2,287,140.2
21.7,2002,2,297,150.2
21.7,2003,2,307,160.2
21.7,2004,2,317,170.2
21.7,2005,2,327,180.2
21.8,2001,2,288,140.8
21.8,2002,2,298,150.8
21.8,2003,2,308,160.8
21.8,2004,2,318,170.8
21.8,2005,2,328,180.8
21.9,2001,2,289,141.4
21.9,2002,2,299,151.4
21.9,2003,2,309,161.4
21.9,2004,2,319,171.4
21.9,2005,2,329,181.4
22,2001,2,290,142
22,2002,2,300,152
22,2003,2,310,162
22,2004,2,320,172
22,2005,2,330,182
22.1,2001,2,291,142.6
22.1,2002,2,301,152.6
22.1,2003,2,311,162.6
22.1,2004,2,321,172.6
22.1,2005,2,331,182.6
22.2,2001,2,292,143.2
22.2,2002,2,302,153.2
22.2,2003,2,312,163.2
22.2,2004,2,322,173.2
22.2,2005,2,332,183.2
22.3,2001,2,293,143.8
22.3,2002,2,303,153.8
22.3,2003,2,313,163.8
22.3,2004,2,323,173.8
22.3,2005,2,333,183.8
22.4,2001,2,294,144.4
22.4,2002,2,304,154.4
22.4,2003,2,314,164.4
22.4,2004,2,324,174.4
22.4,2005,2,334,184.4
22.5,2001,2,295,145
22.5,2002,2,305,155
22.5,2003,2,315,165
22.5,2004,2,325,175
22.5,2005,2,335,185
22.6,2001,2,296,145.6
22.6,2002,2,306,155.6
22.6,2003,2,316,165.6
22.6,2004,2,326,175.6
22.6,2005,2,336,185.6
22.7,2001,2,297,146.2
22.7,2002,2,307,156.2
22.7,2003,2,317,166.2
22.7,2004,2,327,176.2
22.7,2005,2,337,186.2
22.8,2001,2,298,146.8
22.8,2002,2,308,156.8
22.8,2003,2,318,166.8
22.8,2004,2,328,176.8
22.8,2005,2,338,186.8
22.9,2001,2,299,147.4
22.9,2002,2,309,157.4
22.9,2003,2,319,167.4
22.9,2004,2,329,177.4
22.9,2005,2,339,187.4
23,2001,2,300,148
23,2002,2,310,158
23,2003,2,320,168
23,2004,2,330,178
23,2005,2,340,188
23.1,2001,2,301,148.6
23.1,2002,2,311,158.6
23.1,2003,2,321,168.6
23.1,2004,2,331,178.6
23.1,2005,2,341,188.6
23.2,2001,2,302,149.2
23.2,2002,2,312,159.2
23.2,2003,2,322,169.2
23.2,2004,2,332,179.2
23.2,2005,2,342,189.2
23.3,2001,2,303,149.8
23.3,2002,2,313,159.8
23.3,2003,2,323,169.8
23.3,2004,2,333,179.8
23.3,2005,2,343,189.8
23.4,2001,2,304,150.4
23.4,2002,2,314,160.4
23.4,2003,2,324,170.4
23.4,2004,2,334,180.4
23.4,2005,2,344,190.4
23.5,2001,2,305,151
23.5,2002,2,315,161
23.5,2003,2,325,171
23.5,2004,2,335,181
23.5,2005,2,345,191
23.6,2001,2,306,151.6
23.6,2002,2,316,161.6
23.6,2003,2,326,171.6
23.6,2004,2,336,181.6
23.6,2005,2,346,191.6
23.7,2001,2,307,152.2
23.7,2002,2,317,162.2
23.7,2003,2,327,172.2
23.7,2004,2,337,182.2
23.7,2005,2,347,192.2
23.8,2001,2,308,152.8
23.8,2002,2,318,162.8
23.8,2003,2,328,172.8
23.8,2004,2,338,182.8
23.8,2005,2,348,192.8
23.9,2001,2,309,153.4
23.9,2002,2,319,163.4
23.9,2003,2,329,173.4
23.9,2004,2,339,183.4
23.9,2005,2,349,193.4
24,2001,2,310,154
24,2002,2,320,164
24,2003,2,330,174
24,2004,2,340,184
24,2005,2,350,194
24.1,2001,2,311,154.6
24.1,2002,2,321,164.6
24.1,2003,2,331,174.6
24.1,2004,2,341,184.6
24.1,2005,2,351,194.6
24.2,2001,2,312,155.2
24.2,2002,2,322,165.2
24.2,2003,2,332,175.2
24.2,2004,2,342,185.2
24.2,2005,2,352,195.2
24.3,2001,2,313,155.8
24.3,2002,2,323,165.8
24.3,2003,2,333,175.8
24.3,2004,2,343,185.8
24.3,2005,2,353,195.8
24.4,2001,2,314,156.4
24.4,2002,2,324,166.4
24.4,2003,2,334,176.4
24.4,2004,2,344,186.4
24.4,2005,2,354,196.4
24.5,2001,2,315,157
24.5,2002,2,325,167
24.5,2003,2,335,177
24.5,2004,2,345,187
24.5,2005,2,355,197
24.6,2001,2,316,157.6
24.6,2002,2,326,167.6
24.6,2003,2,336,177.6
24.6,2004,2,346,187.6
24.6,2005,2,356,197.6
24.7,2001,2,317,158.2
24.7,2002,2,327,168.2
24.7,2003,2,337,178.2
24.7,2004,2,347,188.2
24.7,2005,2,357,198.2
24.8,2001,2,318,158.8
24.8,2002,2,328,168.8
24.8,2003,2,338,178.8
24.8,2004,2,348,188.8
24.8,2005,2,358,198.8
24.9,2001,2,319,159.4
24.9,2002,2,329,169.4
24.9,2003,2,339,179.4
24.9,2004,2,349,189.4
24.9,2005,2,359,199.4
25,2,attack_started,sybil
25,2001,2,320,160
25,2002,2,330,170
25,2003,2,340,180
25,2004,2,350,190
25,2005,2,360,200
25.1,2001,2,321,160.6
25.1,2002,2,331,170.6
25.1,2003,2,341,180.6
25.1,2004,2,351,190.6
25.1,2005,2,361,200.6
25.2,2001,2,322,161.2
25.2,2002,2,332,171.2
25.2,2003,2,342,181.2
25.2,2004,2,352,191.2
25.2,2005,2,362,201.2
25.3,2001,2,323,161.8
