timestamp,nodeId,neighborCount,minDistance
5.8,121,3,151.519
5.8,122,8,42.0313
5.8,123,5,36.881
5.8,124,8,3.98935
5.8,125,6,172.658
5.8,126,6,1.44101
5.8,127,5,50.7467
5.8,128,7,147.262
5.8,129,3,72.5593
5.8,130,5,43.6289
5.8,131,6,1.79805
6,0,4,105.219
6,1,2,1.44003
6,2,7,36.881
6,3,8,25.2548
6,4,5,107.52
6,5,7,93.5823
6,6,5,156.74
6,7,8,132.288
6,8,2,51.0006
6,9,2,132.134
6,10,3,1.36682
6,11,2,1.35695
6,12,4,18.2263
6,13,4,48.5988
6,14,4,118.439
6,15,5,77.6631
6,16,4,19.0349
6,17,5,21.4699
6,18,3,93.392
6,19,1,0.310161
6,20,2,1.44003
6,21,4,3.38492
6,22,2,3.32728
6,23,8,42.0313
6,24,1,188.198
6,25,2,25.8931
6,26,4,145.109
6,27,4,4.10844
6,28,3,2.78442
6,29,4,65.6021
6,30,4,184.811
6,31,6,77.6631
6,32,5,129.986
6,33,2,25.8931
6,34,2,31.6699
6,35,5,176.588
6,36,4,3.38492
6,37,4,12.8411
6,38,4,4.10844
6,39,8,36.477
6,40,0,318.522
6,41,3,9.57056
6,42,5,30.1514
6,43,2,31.6699
6,44,3,1.35473
6,45,0,410.079
6,46,6,30.1514
6,47,6,85.8459
6,48,1,225.878
6,49,4,3.23543
6,50,7,122.117
6,51,6,1.69532
6,52,4,18.1365
6,53,5,21.4699
6,54,3,3.32555
6,55,1,86.3256
6,56,1,4.09766
6,57,3,23.2549
6,58,6,93.5823
6,59,3,1.36682
6,60,2,3.32728
6,61,5,100.935
6,62,1,4.09766
6,63,4,18.2263
6,64,2,4.17164
6,65,4,18.1365
6,66,0,480.876
6,67,4,12.8411
6,68,8,49.0729
6,69,6,1.69532
6,70,5,2.77418
6,71,4,28.322
6,72,4,19.0349
6,73,3,2.46173
6,74,7,43.2732
6,75,10,36.477
6,76,0,352.78
6,77,6,132.788
6,78,4,28.322
6,79,10,19.18
6,80,8,1.73072
6,81,1,0.310161
6,82,2,224.324
6,83,7,85.8459
6,84,5,2.77418
6,85,3,93.392
6,86,4,125.812
6,87,5,89.1215
6,88,6,1.44101
6,89,5,61.1801
6,90,1,224.008
6,91,8,98.6634
6,92,4,48.9402
6,93,4,34.6752
6,94,0,352.78
6,95,3,1.35473
6,96,5,43.6289
6,97,8,1.73072
6,98,2,5.49401
6,99,2,191.504
6,100,1,224.008
6,101,0,271.022
6,102,5,108.179
6,103,4,175.153
6,104,3,2.46173
6,105,4,3.23543
6,106,2,4.17164
6,107,2,210.651
6,108,4,34.6752
6,109,5,54.5065
6,110,2,1.35695
6,111,4,99.0557
6,112,8,3.98935
6,113,3,23.2549
6,114,3,132.788
6,115,5,54.5065
