timestamp,nodeId,attackType,detectionScore
25.5,6,hybrid_detection,trust_score=0
25.7,0,hybrid_detection,trust_score=0
25.7,2,hybrid_detection,trust_score=0
25.7,4,hybrid_detection,trust_score=0
25.7,6,hybrid_detection,trust_score=0
25.9,0,hybrid_detection,trust_score=0
25.9,2,hybrid_detection,trust_score=0
25.9,4,hybrid_detection,trust_score=0
25.9,6,hybrid_detection,trust_score=0
26,0,ml_anomaly,174
26,2,ml_anomaly,174
26,4,ml_anomaly,174
26,6,ml_anomaly,174
26.1,0,hybrid_detection,trust_score=0
26.1,2,hybrid_detection,trust_score=0
26.1,4,hybrid_detection,trust_score=0
26.1,6,hybrid_detection,trust_score=0
26.3,0,hybrid_detection,trust_score=0
26.3,2,hybrid_detection,trust_score=0
26.3,4,hybrid_detection,trust_score=0
26.3,6,hybrid_detection,trust_score=0
26.5,0,ml_anomaly,177
26.5,2,ml_anomaly,177
26.5,4,ml_anomaly,177
26.5,6,ml_anomaly,177
26.5,0,hybrid_detection,trust_score=0
26.5,2,hybrid_detection,trust_score=0
26.5,4,hybrid_detection,trust_score=0
26.5,6,hybrid_detection,trust_score=0
26.7,0,hybrid_detection,trust_score=0
26.7,2,hybrid_detection,trust_score=0
26.7,4,hybrid_detection,trust_score=0
26.7,6,hybrid_detection,trust_score=0
26.9,0,hybrid_detection,trust_score=0
26.9,2,hybrid_detection,trust_score=0
26.9,4,hybrid_detection,trust_score=0
26.9,6,hybrid_detection,trust_score=0
27,0,ml_anomaly,181
27,2,ml_anomaly,181
27,4,ml_anomaly,181
27,6,ml_anomaly,181
27.1,0,hybrid_detection,trust_score=0
27.1,2,hybrid_detection,trust_score=0
27.1,4,hybrid_detection,trust_score=0
27.1,6,hybrid_detection,trust_score=0
27.3,0,hybrid_detection,trust_score=0
27.3,2,hybrid_detection,trust_score=0
27.3,4,hybrid_detection,trust_score=0
27.3,6,hybrid_detection,trust_score=0
27.5,0,ml_anomaly,184
27.5,2,ml_anomaly,184
27.5,4,ml_anomaly,184
27.5,6,ml_anomaly,184
27.5,0,hybrid_detection,trust_score=0
27.5,2,hybrid_detection,trust_score=0
27.5,4,hybrid_detection,trust_score=0
27.5,6,hybrid_detection,trust_score=0
27.7,0,hybrid_detection,trust_score=0
27.7,2,hybrid_detection,trust_score=0
27.7,4,hybrid_detection,trust_score=0
27.7,6,hybrid_detection,trust_score=0
27.9,0,hybrid_detection,trust_score=0
27.9,2,hybrid_detection,trust_score=0
27.9,4,hybrid_detection,trust_score=0
27.9,6,hybrid_detection,trust_score=0
28,0,ml_anomaly,188
28,2,ml_anomaly,188
28,4,ml_anomaly,188
28,6,ml_anomaly,188
28.1,0,hybrid_detection,trust_score=0
28.1,2,hybrid_detection,trust_score=0
28.1,4,hybrid_detection,trust_score=0
28.1,6,hybrid_detection,trust_score=0
28.3,0,hybrid_detection,trust_score=0
28.3,2,hybrid_detection,trust_score=0
28.3,4,hybrid_detection,trust_score=0
28.3,6,hybrid_detection,trust_score=0
28.5,0,ml_anomaly,191
28.5,2,ml_anomaly,191
28.5,4,ml_anomaly,191
28.5,6,ml_anomaly,191
28.5,0,hybrid_detection,trust_score=0
28.5,2,hybrid_detection,trust_score=0
28.5,4,hybrid_detection,trust_score=0
28.5,6,hybrid_detection,trust_score=0
28.7,0,hybrid_detection,trust_score=0
28.7,2,hybrid_detection,trust_score=0
28.7,4,hybrid_detection,trust_score=0
28.7,6,hybrid_detection,trust_score=0
28.9,0,hybrid_detection,trust_score=0
28.9,2,hybrid_detection,trust_score=0
28.9,4,hybrid_detection,trust_score=0
28.9,6,hybrid_detection,trust_score=0
29,0,ml_anomaly,195
29,2,ml_anomaly,195
29,4,ml_anomaly,195
29,6,ml_anomaly,195
29.1,0,hybrid_detection,trust_score=0
29.1,2,hybrid_detection,trust_score=0
29.1,4,hybrid_detection,trust_score=0
29.1,6,hybrid_detection,trust_score=0
29.3,0,hybrid_detection,trust_score=0
29.3,2,hybrid_detection,trust_score=0
29.3,4,hybrid_detection,trust_score=0
29.3,6,hybrid_detection,trust_score=0
29.5,0,ml_anomaly,198
29.5,2,ml_anomaly,198
29.5,4,ml_anomaly,198
29.5,6,ml_anomaly,198
29.5,0,hybrid_detection,trust_score=0
29.5,2,hybrid_detection,trust_score=0
29.5,4,hybrid_detection,trust_score=0
29.5,6,hybrid_detection,trust_score=0
29.7,0,hybrid_detection,trust_score=0
29.7,2,hybrid_detection,trust_score=0
29.7,4,hybrid_detection,trust_score=0
29.7,6,hybrid_detection,trust_score=0
29.9,0,hybrid_detection,trust_score=0
29.9,2,hybrid_detection,trust_score=0
29.9,4,hybrid_detection,trust_score=0
29.9,6,hybrid_detection,trust_score=0
