t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
766.0,771.0,2500,50,25.0,0.0,49.0,,highway,density-50
771.0,776.0,2500,50,25.0,0.0,49.0,,highway,density-50
776.0,781.0,2500,50,25.0,0.0,49.0,,highway,density-50
781.0,786.0,2500,50,25.0,0.0,49.0,,highway,density-50
786.0,791.0,2500,50,25.0,0.0,49.0,,highway,density-50
791.0,796.0,2500,50,25.0,0.0,49.0,,highway,density-50
796.0,801.0,2500,50,25.0,0.0,49.0,,highway,density-50
801.0,806.0,2500,50,25.0,0.0,49.0,,highway,density-50
806.0,811.0,2500,50,25.0,0.0,49.0,,highway,density-50
811.0,816.0,2500,50,25.0,0.0,49.0,,highway,density-50
816.0,821.0,2500,50,25.0,0.0,49.0,,highway,density-50
821.0,826.0,2500,50,25.0,0.0,49.0,,highway,density-50
826.0,831.0,2500,50,25.0,0.0,49.0,,highway,density-50
831.0,836.0,2500,50,25.0,0.0,49.0,,highway,density-50
836.0,841.0,2500,50,25.0,0.0,49.0,,highway,density-50
841.0,846.0,2500,50,25.0,0.0,49.0,,highway,density-50
846.0,851.0,2500,50,25.0,0.0,49.0,,highway,density-50
851.0,856.0,2500,50,25.0,0.0,49.0,,highway,density-50
856.0,861.0,2500,50,25.0,0.0,49.0,,highway,density-50
861.0,866.0,2500,50,25.0,0.0,49.0,,highway,density-50
866.0,871.0,2500,50,25.0,0.0,49.0,,highway,density-50
871.0,876.0,2500,50,25.0,0.0,49.0,,highway,density-50
876.0,881.0,2500,50,25.0,0.0,49.0,,highway,density-50
881.0,886.0,2500,50,25.0,0.0,49.0,,highway,density-50
886.0,891.0,2500,50,25.0,0.0,49.0,,highway,density-50
891.0,896.0,2500,50,25.0,0.0,49.0,,highway,density-50
896.0,901.0,2000,50,25.0,0.0,49.0,,highway,density-50
1.0,6.0,4999,100,25.0,0.0,73.56902761104442,,highway,density-100
6.0,11.0,5000,100,25.0,0.0,73.56,,highway,density-100
11.0,16.0,5000,100,25.0,0.0,73.56,,highway,density-100
16.0,21.0,5000,100,25.0,0.0,73.56,,highway,density-100
21.0,26.0,5000,100,25.0,0.0,73.56,,highway,density-100
26.0,31.0,5000,100,25.0,0.0,73.56,,highway,density-100
31.0,36.0,5000,100,25.0,0.0,73.56,,highway,density-100
36.0,41.0,5000,100,25.0,0.0,73.56,,highway,density-100
41.0,46.0,5000,100,25.0,0.0,73.56,,highway,density-100
46.0,51.0,5000,100,25.0,0.0,73.56,,highway,density-100
51.0,56.0,5000,100,25.0,0.0,73.56,,highway,density-100
56.0,61.0,5000,100,25.0,0.0,73.56,,highway,density-100
61.0,66.0,5000,100,25.0,0.0,73.56,,highway,density-100
66.0,71.0,5000,100,25.0,0.0,73.56,,highway,density-100
71.0,76.0,5000,100,25.0,0.0,73.56,,highway,density-100
76.0,81.0,5000,100,25.0,0.0,73.56,,highway,density-100
81.0,86.0,5000,100,25.0,0.0,73.56,,highway,density-100
86.0,91.0,5000,100,25.0,0.0,73.56,,highway,density-100
91.0,96.0,5000,100,25.0,0.0,73.56,,highway,density-100
96.0,101.0,5000,100,25.0,0.0,73.56,,highway,density-100
101.0,106.0,5000,100,25.0,0.0,73.56,,highway,density-100
106.0,111.0,5000,100,25.0,0.0,73.56,,highway,density-100
111.0,116.0,5000,100,25.0,0.0,73.56,,highway,density-100
116.0,121.0,5000,100,25.0,0.0,73.56,,highway,density-100
121.0,126.0,5000,100,25.0,0.0,73.56,,highway,density-100
126.0,131.0,5000,100,25.0,0.0,73.56,,highway,density-100
131.0,136.0,5000,100,25.0,0.0,73.56,,highway,density-100
136.0,141.0,5000,100,25.0,0.0,73.56,,highway,density-100
141.0,146.0,5000,100,25.0,0.0,73.56,,highway,density-100
146.0,151.0,5000,100,25.0,0.0,73.56,,highway,density-100
151.0,156.0,5000,100,25.0,0.0,73.56,,highway,density-100
156.0,161.0,5000,100,25.0,0.0,73.56,,highway,density-100
161.0,166.0,5000,100,25.0,0.0,73.56,,highway,density-100
166.0,171.0,5000,100,25.0,0.0,73.56,,highway,density-100
171.0,176.0,5000,100,25.0,0.0,73.56,,highway,density-100
176.0,181.0,5000,100,25.0,0.0,73.56,,highway,density-100
181.0,186.0,5000,100,25.0,0.0,73.56,,highway,density-100
186.0,191.0,5000,100,25.0,0.0,73.56,,highway,density-100
191.0,196.0,5000,100,25.0,0.0,73.56,,highway,density-100
196.0,201.0,5000,100,25.0,0.0,73.56,,highway,density-100
201.0,206.0,5000,100,25.0,0.0,73.56,,highway,density-100
206.0,211.0,5000,100,25.0,0.0,73.56,,highway,density-100
211.0,216.0,5000,100,25.0,0.0,73.56,,highway,density-100
216.0,221.0,5000,100,25.0,0.0,73.56,,highway,density-100
221.0,226.0,5000,100,25.0,0.0,73.56,,highway,density-100
226.0,231.0,5000,100,25.0,0.0,73.56,,highway,density-100
231.0,236.0,5000,100,25.0,0.0,73.56,,highway,density-100
236.0,241.0,5000,100,25.0,0.0,73.56,,highway,density-100
241.0,246.0,5000,100,25.0,0.0,73.56,,highway,density-100
246.0,251.0,5000,100,25.0,0.0,73.56,,highway,density-100
251.0,256.0,5000,100,25.0,0.0,73.56,,highway,density-100
256.0,261.0,5000,100,25.0,0.0,73.56,,highway,density-100
261.0,266.0,5000,100,25.0,0.0,73.56,,highway,density-100
266.0,271.0,5000,100,25.0,0.0,73.56,,highway,density-100
271.0,276.0,5000,100,25.0,0.0,73.56,,highway,density-100
276.0,281.0,5000,100,25.0,0.0,73.56,,highway,density-100
281.0,286.0,5000,100,25.0,0.0,73.56,,highway,density-100
286.0,291.0,5000,100,25.0,0.0,73.56,,highway,density-100
291.0,296.0,5000,100,25.0,0.0,73.56,,highway,density-100
296.0,301.0,5000,100,25.0,0.0,73.56,,highway,density-100
301.0,306.0,5000,100,25.0,0.0,73.56,,highway,density-100
