t0,t1,total_msgs,unique_senders,mean_speed,var_speed,mean_neighbors,mean_rssi,scenario,density
70.0,75.0,1450,29,8.410844959001315,5.679390508882536,,,urban,density-150
75.0,80.0,1450,29,8.482640279545118,5.65041407000675,,,urban,density-150
80.0,85.0,1450,29,8.521140427440208,5.685556548964032,,,urban,density-150
85.0,90.0,1450,29,8.457820006804448,5.5806881983165955,,,urban,density-150
90.0,95.0,1450,29,8.479448628550621,5.7987684428187185,,,urban,density-150
95.0,100.0,1450,29,8.582462145765172,5.611817208355163,,,urban,density-150
100.0,105.0,1450,29,8.48201536721975,5.784658797848264,,,urban,density-150
105.0,110.0,1450,29,8.458343152278063,5.769741957571889,,,urban,density-150
110.0,115.0,1450,29,8.565663800918294,5.813058036792068,,,urban,density-150
115.0,120.0,1450,29,8.53607312475412,5.496390638074876,,,urban,density-150
120.0,125.0,1450,29,8.684869222366894,5.980224565014928,,,urban,density-150
125.0,130.0,1450,29,8.436959386435477,5.829728496108997,,,urban,density-150
130.0,135.0,1450,29,8.450611174825356,5.676016041272129,,,urban,density-150
135.0,140.0,1450,29,8.651906930447616,6.1837566291821595,,,urban,density-150
140.0,145.0,1450,29,8.507420014462737,5.848931023508961,,,urban,density-150
145.0,150.0,1450,29,8.495316179120602,5.901157549861376,,,urban,density-150
